Time;c/kWh
2025-10-07 00:00;19,34
2025-10-07 00:15;15,05
2025-10-07 00:30;12,66
2025-10-07 00:45;11,32
2025-10-07 01:00;10,55
2025-10-07 01:15;10,64
2025-10-07 01:30;10,3
2025-10-07 01:45;9,62
2025-10-07 02:00;10,39
2025-10-07 02:15;9,89
2025-10-07 02:30;9,63
2025-10-07 02:45;9,02
2025-10-07 03:00;9,82
2025-10-07 03:15;9,2
2025-10-07 03:30;9,23
2025-10-07 03:45;9,18
2025-10-07 04:00;9,48
2025-10-07 04:15;9,73
2025-10-07 04:30;9,74
2025-10-07 04:45;10,09
2025-10-07 05:00;8,96
2025-10-07 05:15;9,17
2025-10-07 05:30;9,91
2025-10-07 05:45;10,72
2025-10-07 06:00;10,12
2025-10-07 06:15;11,1
2025-10-07 06:30;11,9
2025-10-07 06:45;12,39
2025-10-07 07:00;11,04
2025-10-07 07:15;12,22
2025-10-07 07:30;13,72
2025-10-07 07:45;16,05
2025-10-07 08:00;15,76
2025-10-07 08:15;20,38
2025-10-07 08:30;25,62
2025-10-07 08:45;27,3
2025-10-07 09:00;28,98
2025-10-07 09:15;28,24
2025-10-07 09:30;27,15
2025-10-07 09:45;24,06
2025-10-07 10:00;27,71
2025-10-07 10:15;22,53
2025-10-07 10:30;16,11
2025-10-07 10:45;13,35
2025-10-07 11:00;18,76
2025-10-07 11:15;15,33
2025-10-07 11:30;13,15
2025-10-07 11:45;11,65
2025-10-07 12:00;14,58
2025-10-07 12:15;12,67
2025-10-07 12:30;10,64
2025-10-07 12:45;10,28
2025-10-07 13:00;12,01
2025-10-07 13:15;10,7
2025-10-07 13:30;10,47
2025-10-07 13:45;10,28
2025-10-07 14:00;10,19
2025-10-07 14:15;10,21
2025-10-07 14:30;10,2
2025-10-07 14:45;10,12
2025-10-07 15:00;10,22
2025-10-07 15:15;10,26
2025-10-07 15:30;10,19
2025-10-07 15:45;10,15
2025-10-07 16:00;10,03
2025-10-07 16:15;10,12
2025-10-07 16:30;10,03
2025-10-07 16:45;9,61
2025-10-07 17:00;10,66
2025-10-07 17:15;10,86
2025-10-07 17:30;10,29
2025-10-07 17:45;10,14
2025-10-07 18:00;10,88
2025-10-07 18:15;10,28
2025-10-07 18:30;7,24
2025-10-07 18:45;6,87
2025-10-07 19:00;6,87
