method,device,scenario_id,home_window,pmax,e_need,cost_15min,cost_60min,delta_eur,delta_pct,cost_ctrl_only,cost_price_only,status_15min,status_60min,status_ctrl_only,status_price_only,row_status,min_temp_15,min_temp_60,violations_15,violations_60,daily_hotwater_kwh,events
BASE_CHARGE_NOW,EV,EV_2025-10-07_P11_E10,17:00-08:00,11.0,10.0,1.1657138888888887,1.1634222222222221,-0.002291666666666581,-0.1969763532872295,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-07_P11_E20,17:00-08:00,11.0,20.0,2.1388166666666666,2.136261111111111,-0.002555555555555422,-0.11962749039728705,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-07_P11_E30,17:00-08:00,11.0,30.0,2.75985,2.7584666666666666,-0.001383333333333514,-0.050148633298699063,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-07_P3.6_E10,17:00-08:00,3.6,10.0,0.9075266666666666,0.9062355555555556,-0.0012911111111110207,-0.14246970373166637,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-07_P3.6_E20,17:00-08:00,3.6,20.0,1.0554344444444446,1.0551544444444447,-0.00027999999999983594,-0.02653639962131423,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-07_P3.6_E30,17:00-08:00,3.6,30.0,1.14608,1.1460800000000002,0.0,0.0,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-08_P11_E10,17:00-08:00,11.0,10.0,0.8091333333333333,0.8107777777777777,0.0016444444444444484,0.2028230779772514,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-08_P11_E20,17:00-08:00,11.0,20.0,2.0324888888888886,2.036161111111111,0.003672222222222299,0.18035027789222471,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-08_P11_E30,17:00-08:00,11.0,30.0,3.634641666666667,3.63565,0.0010083333333330557,0.027734609583789854,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-08_P3.6_E10,17:00-08:00,3.6,10.0,1.2188322222222219,1.219773333333333,0.0009411111111110593,0.07715458974162355,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-08_P3.6_E20,17:00-08:00,3.6,20.0,2.6388044444444447,2.6272933333333333,-0.011511111111111472,-0.438135740880785,,,simulated,simulated,,,ok,,,,,,
BASE_CHARGE_NOW,EV,EV_2025-10-08_P3.6_E30,17:00-08:00,3.6,30.0,3.339803333333335,3.336406666666668,-0.0033966666666671586,-0.10180613474378095,,,simulated,simulated,,,ok,,,,,,
